STATIONS_ID; MESS_DATUM_BEGINN; MESS_DATUM_ENDE; QUALITAETS_NIVEAU; ART; NIEDERSCHLAGSHOEHE;NEUSCHNEEHOEHE;SCHNEEHOEHE; max(NIEDERSCHLAGSHOEHE);eor
  7378;20060701;20060731;  10;   2;    32.9;   -999;   -999;   10.9;eor
  7378;20060801;20060831;  10;   2;   155.7;   -999;   -999;   23.7;eor
  7378;20060901;20060930;  10;   2;    18.3;   -999;   -999;    5.9;eor
  7378;20061001;20061031;  10;   2;    47.7;   -999;   -999;   12.4;eor
  7378;20061101;20061130;  10;   2;    48.3;   -999;   -999;   12.1;eor
  7378;20061201;20061231;  10;   2;    41.7;   -999;   -999;   10.7;eor
  7378;20070101;20070131;  10;   2;    69.3;   -999;   -999;   12.5;eor
  7378;20070201;20070228;  10;   2;    69.7;   -999;   -999;   11.9;eor
  7378;20070301;20070331;  10;   2;    48.3;   -999;   -999;    9.0;eor
  7378;20070401;20070430;  10;   2;     0.9;   -999;   -999;    0.9;eor
  7378;20070501;20070531;  10;   2;    88.2;      0;      0;   12.7;eor
  7378;20070601;20070630;  10;   2;    62.2;      0;      0;    9.0;eor
  7378;20070701;20070731;  10;   2;   101.8;      0;      0;   22.6;eor
  7378;20070801;20070831;  10;   2;   120.4;      0;      0;   39.3;eor
  7378;20070901;20070930;  10;   2;    59.1;      0;      0;   29.7;eor
  7378;20071001;20071031;  10;   2;    53.3;      0;      0;   26.5;eor
  7378;20071101;20071130;  10;   2;    62.3;      0;      0;   13.5;eor
  7378;20071201;20071231;  10;   2;    37.0;      0;      0;    8.2;eor
  7378;20080101;20080131;  10;   2;    39.3;      0;      0;    6.4;eor
  7378;20080201;20080229;  10;   2;    36.2;      0;      0;   11.5;eor
  7378;20080301;20080331;  10;   2;    79.1;      4;      6;   15.0;eor
  7378;20080401;20080430;  10;   2;    68.8;      0;      0;   15.0;eor
  7378;20080501;20080531;  10;   2;    58.1;      0;      0;   33.8;eor
  7378;20080601;20080630;  10;   2;    78.5;      0;      0;   24.1;eor
  7378;20080701;20080731;  10;   2;   120.2;      0;      0;   37.3;eor
  7378;20080801;20080831;  10;   2;    71.6;      0;      0;   21.3;eor
  7378;20080901;20080930;  10;   2;    39.1;      0;      0;    9.2;eor
  7378;20081001;20081031;  10;   2;    53.8;      0;      0;   14.3;eor
  7378;20081101;20081130;  10;   2;    36.2;      0;      0;    6.0;eor
  7378;20081201;20081231;  10;   2;    38.4;      3;      3;    8.9;eor
  7378;20090101;20090131;  10;   2;    36.1;     21;    141;   13.0;eor
  7378;20090201;20090228;  10;   2;    47.2;      0;      0;   12.0;eor
  7378;20090301;20090331;  10;   2;    62.2;      0;      0;   16.6;eor
  7378;20090401;20090430;  10;   2;    41.8;      0;      0;   18.4;eor
  7378;20090501;20090531;  10;   2;    42.5;      0;      0;    6.7;eor
  7378;20090601;20090630;  10;   2;    79.9;      0;      0;   13.7;eor
  7378;20090701;20090731;  10;   2;    60.5;      0;      0;    9.9;eor
  7378;20090801;20090831;  10;   2;    45.3;      0;      0;   12.4;eor
  7378;20090901;20090930;  10;   2;    29.8;      0;      0;   10.3;eor
  7378;20091001;20091031;  10;   2;    59.5;      0;      0;   12.9;eor
  7378;20091101;20091130;  10;   2;    71.5;      0;      0;   20.8;eor
  7378;20091201;20091231;  10;   2;    66.0;      9;     14;   11.8;eor
  7378;20100101;20100131;  10;   2;    33.4;     17;     70;    7.2;eor
  7378;20100201;20100228;  10;   2;    38.1;     10;     38;    6.5;eor
  7378;20100301;20100331;  10;   2;    46.3;      1;      1;   13.3;eor
  7378;20100401;20100430;  10;   2;     9.8;   -999;   -999;    3.6;eor
  7378;20100501;20100531;  10;   2;    74.9;   -999;   -999;   16.9;eor
  7378;20100601;20100630;  10;   2;    18.9;   -999;   -999;    9.3;eor
  7378;20100701;20100731;  10;   2;    62.0;   -999;   -999;   18.6;eor
  7378;20100801;20100831;  10;   2;   153.9;   -999;   -999;   36.2;eor
  7378;20100901;20100930;  10;   2;    46.0;   -999;   -999;    8.0;eor
  7378;20101001;20101031;  10;   2;    45.1;   -999;   -999;   11.9;eor
  7378;20101101;20101130;   7;   2;   101.4;      1;      9;   51.1;eor
  7378;20101201;20101231;   3;   2;    56.3;     47;    308;    9.5;eor
  7378;20110101;20110131;   3;   2;    70.2;      0;     54;   14.4;eor
  7378;20110201;20110228;   3;   2;    59.1;      1;      1;   20.0;eor
  7378;20110301;20110331;   3;   2;    17.0;      0;      0;    9.1;eor
  7378;20110401;20110430;   3;   2;    16.8;      0;      0;    6.7;eor
  7378;20110501;20110531;   3;   2;    13.7;      0;      0;    6.2;eor
  7378;20110601;20110630;   3;   2;    75.0;      0;      0;   12.6;eor
  7378;20110701;20110731;   3;   2;    62.9;      0;      0;   14.0;eor
  7378;20110801;20110831;   3;   2;   100.5;      0;      0;   23.4;eor
  7378;20110901;20110930;   3;   2;    20.7;      0;      0;    4.7;eor
  7378;20111001;20111031;   3;   2;    42.1;      0;      0;   14.0;eor
  7378;20111101;20111130;   3;   2;     4.2;      0;      0;    1.7;eor
  7378;20111201;20111231;   3;   2;   107.1;      1;      1;   15.0;eor
  7378;20120101;20120131;   3;   2;    72.7;      1;      1;   14.2;eor
  7378;20120201;20120229;   3;   2;    13.4;      0;      0;    3.5;eor
  7378;20120301;20120331;   3;   2;    20.8;      0;      0;   10.8;eor
  7378;20120401;20120430;   3;   2;    40.6;      0;      0;    4.4;eor
  7378;20120501;20120531;   3;   2;    31.1;      0;      0;   10.7;eor
