STATIONS_ID; MESS_DATUM_BEGINN; MESS_DATUM_ENDE; QUALITAETS_NIVEAU; ART; NIEDERSCHLAGSHOEHE;NEUSCHNEEHOEHE;SCHNEEHOEHE; max(NIEDERSCHLAGSHOEHE);eor
 13781;20080101;20080131;  10;   2;    74.1;      0;      0;   14.9;eor
 13781;20080201;20080229;  10;   2;    66.2;      0;      0;   21.0;eor
 13781;20080301;20080331;  10;   2;   117.3;     19;     25;   16.5;eor
 13781;20080401;20080430;  10;   2;    51.7;      0;      0;    9.1;eor
 13781;20080501;20080531;  10;   2;    40.4;      0;      0;   18.5;eor
 13781;20080601;20080630;  10;   2;    58.5;      0;      0;   13.0;eor
 13781;20080701;20080731;  10;   2;   111.2;      0;      0;   29.6;eor
 13781;20080801;20080831;  10;   2;    60.8;      0;      0;   19.7;eor
 13781;20080901;20080930;  10;   2;    90.6;      0;      0;   25.0;eor
 13781;20081001;20081031;  10;   2;    62.6;      0;      0;   16.9;eor
 13781;20081101;20081130;  10;   2;    40.5;     20;     54;   10.5;eor
 13781;20081201;20081231;  10;   2;    49.5;     15;     37;   14.1;eor
 13781;20090101;20090131;  10;   2;    56.8;      2;     11;   18.8;eor
 13781;20090201;20090228;  10;   2;    55.9;     10;     38;   18.4;eor
 13781;20090301;20090331;  10;   2;    82.6;      0;      0;   14.0;eor
 13781;20090401;20090430;  10;   2;    46.0;      0;      0;   19.5;eor
 13781;20090501;20090531;  10;   2;    68.1;      0;      0;   18.4;eor
 13781;20090601;20090630;  10;   2;    97.7;      0;      0;   25.6;eor
 13781;20090701;20090731;  10;   2;    94.2;      0;      0;   16.0;eor
 13781;20090801;20090831;  10;   2;    34.0;      0;      0;    8.7;eor
 13781;20090901;20090930;  10;   2;    34.1;      0;      0;   10.2;eor
 13781;20091001;20091031;  10;   2;    48.2;      0;      0;   12.2;eor
 13781;20091101;20091130;  10;   2;   134.5;      0;      0;   23.5;eor
 13781;20091201;20091231;  10;   2;   106.8;     10;     18;   16.5;eor
 13781;20100101;20100131;  10;   2;    44.8;     54;    229;    9.3;eor
 13781;20100201;20100228;  10;   2;    70.1;     26;    206;   10.1;eor
 13781;20100301;20100331;  10;   2;    85.2;     19;     65;   24.7;eor
 13781;20100401;20100430;  10;   2;    19.6;   -999;   -999;    5.3;eor
 13781;20100501;20100531;  10;   2;    74.8;   -999;   -999;   12.5;eor
 13781;20100601;20100630;  10;   2;    31.9;   -999;   -999;    8.9;eor
 13781;20100701;20100731;  10;   2;    42.2;   -999;   -999;   19.2;eor
 13781;20100801;20100831;  10;   2;   153.2;   -999;   -999;   52.2;eor
