STATIONS_ID; MESS_DATUM_BEGINN; MESS_DATUM_ENDE; QUALITAETS_NIVEAU; ART; NIEDERSCHLAGSHOEHE;NEUSCHNEEHOEHE;SCHNEEHOEHE; max(NIEDERSCHLAGSHOEHE);eor
  7424;20061201;20061231;  10;   2;    35.8;   -999;   -999;   19.0;eor
  7424;20070101;20070131;  10;   2;    68.8;     12;     30;    8.7;eor
  7424;20070201;20070228;  10;   2;    83.9;      0;      0;   18.0;eor
  7424;20070301;20070331;  10;   2;    64.6;     10;     15;    9.7;eor
  7424;20070401;20070430;  10;   2;     8.8;      0;      0;    2.4;eor
  7424;20070501;20070531;  10;   2;   250.6;      0;      0;   54.9;eor
  7424;20070601;20070630;  10;   2;   129.2;      0;      0;   31.7;eor
  7424;20070701;20070731;  10;   2;   161.5;      0;      0;   33.3;eor
  7424;20070801;20070831;  10;   2;   125.7;      0;      0;   24.6;eor
  7424;20070901;20070930;  10;   2;   200.7;      0;      0;   50.1;eor
  7424;20071001;20071031;  10;   2;    67.9;      4;      4;   15.6;eor
  7424;20071101;20071130;  10;   2;   146.4;     26;     73;   26.6;eor
  7424;20071201;20071231;  10;   2;    71.1;      7;     36;   13.6;eor
  7424;20080101;20080131;  10;   2;    64.0;      5;     21;   15.5;eor
  7424;20080201;20080229;  10;   2;    39.1;      0;      0;   17.2;eor
  7424;20080301;20080331;  10;   2;   168.7;     28;     38;   59.5;eor
  7424;20080401;20080430;  10;   2;   120.3;      0;      0;   22.4;eor
  7424;20080501;20080531;  10;   2;    34.3;      0;      0;   12.5;eor
  7424;20080601;20080630;  10;   2;   117.9;      0;      0;   25.0;eor
  7424;20080701;20080731;  10;   2;   138.1;      0;      0;   31.8;eor
  7424;20080801;20080831;  10;   2;   161.4;      0;      0;   36.5;eor
  7424;20080901;20080930;  10;   2;    69.8;   -999;   -999;   20.8;eor
  7424;20081001;20081031;  10;   2;    61.7;      0;      0;   18.7;eor
  7424;20081101;20081130;  10;   2;    83.3;   -999;   -999;   33.1;eor
  7424;20081201;20081231;  10;   2;    81.2;     11;     12;   38.0;eor
  7424;20090101;20090131;  10;   2;    29.7;     16;     56;   11.0;eor
  7424;20090201;20090228;  10;   2;   104.4;     51;    247;   20.3;eor
  7424;20090301;20090331;  10;   2;   149.2;     20;     25;   33.3;eor
  7424;20090401;20090430;  10;   2;    19.9;      0;      0;    6.0;eor
  7424;20090501;20090531;  10;   2;   129.9;      0;      0;   14.6;eor
  7424;20090601;20090630;  10;   2;   256.3;      0;      0;   50.8;eor
  7424;20090701;20090731;  10;   2;   196.7;      0;      0;   24.5;eor
  7424;20090801;20090831;  10;   2;   141.2;      0;      0;   48.9;eor
  7424;20090901;20090930;  10;   2;    97.0;      0;      0;   23.4;eor
  7424;20091001;20091031;  10;   2;   110.9;      0;      0;   23.5;eor
  7424;20091101;20091130;  10;   2;    61.1;      0;      0;   14.1;eor
  7424;20091201;20091231;  10;   2;    71.5;     26;     84;   14.1;eor
  7424;20100101;20100131;  10;   2;    45.4;     57;    218;   13.1;eor
  7424;20100201;20100228;  10;   2;    55.3;     27;    299;   24.9;eor
  7424;20100301;20100331;  10;   2;    57.6;     19;     43;   10.7;eor
  7424;20100401;20100430;  10;   2;    54.5;   -999;   -999;   15.8;eor
  7424;20100501;20100531;  10;   2;   119.1;   -999;   -999;   27.2;eor
  7424;20100601;20100630;  10;   2;   172.7;   -999;   -999;   64.2;eor
  7424;20100701;20100731;  10;   2;   119.1;   -999;   -999;   21.3;eor
  7424;20100801;20100831;  10;   2;   208.8;   -999;   -999;   23.7;eor
  7424;20100901;20100930;  10;   2;    45.9;   -999;   -999;   12.5;eor
  7424;20101001;20101031;  10;   2;    65.8;   -999;   -999;   18.3;eor
  7424;20101101;20101130;   7;   2;    39.2;     14;     20;   10.6;eor
  7424;20101201;20101231;   7;   2;    64.5;     83;    450;   12.6;eor
  7424;20110101;20110131;   3;   2;    93.5;     45;    284;   45.5;eor
  7424;20110201;20110228;   3;   2;    29.4;      8;    120;    8.2;eor
  7424;20110301;20110331;   3;   2;    51.2;      0;      0;   16.0;eor
  7424;20110401;20110430;   3;   2;    28.8;      0;      0;   12.2;eor
  7424;20110501;20110531;   3;   2;   182.9;      0;      0;   53.5;eor
  7424;20110601;20110630;   3;   2;   187.6;      0;      0;   68.3;eor
  7424;20110701;20110731;   3;   2;   101.5;      0;      0;   22.1;eor
  7424;20110801;20110831;   3;   2;   121.2;      0;      0;   20.1;eor
  7424;20110901;20110930;   3;   2;    91.3;      0;      0;   26.8;eor
  7424;20111001;20111031;   3;   2;    93.4;      0;      0;   24.8;eor
