STATIONS_ID; MESS_DATUM_BEGINN; MESS_DATUM_ENDE; QUALITAETS_NIVEAU; ART; NIEDERSCHLAGSHOEHE;NEUSCHNEEHOEHE;SCHNEEHOEHE; max(NIEDERSCHLAGSHOEHE);eor
  4441;18810101;18810131;   5;   2;     7.0;   -999;   -999;-999;eor
  4441;18810201;18810228;   5;   2;    25.0;   -999;   -999;-999;eor
  4441;18810301;18810331;   5;   2;    55.0;   -999;   -999;-999;eor
  4441;18810401;18810430;   5;   2;    38.0;   -999;   -999;-999;eor
  4441;18810501;18810531;   5;   2;    83.0;   -999;   -999;-999;eor
  4441;18810601;18810630;   5;   2;    59.0;   -999;   -999;-999;eor
  4441;18810701;18810731;   5;   2;    75.0;   -999;   -999;-999;eor
  4441;18810801;18810831;   5;   2;    82.0;   -999;   -999;-999;eor
  4441;18810901;18810930;   5;   2;    58.0;   -999;   -999;-999;eor
  4441;18811001;18811031;   5;   2;    57.0;   -999;   -999;-999;eor
  4441;18811101;18811130;   5;   2;    10.0;   -999;   -999;-999;eor
  4441;18811201;18811231;   5;   2;    30.0;   -999;   -999;-999;eor
  4441;18820101;18820131;   5;   2;    11.0;   -999;   -999;-999;eor
  4441;18820201;18820228;   5;   2;    11.0;   -999;   -999;-999;eor
  4441;18820301;18820331;   5;   2;    23.0;   -999;   -999;-999;eor
  4441;18820401;18820430;   5;   2;    58.0;   -999;   -999;-999;eor
  4441;18820501;18820531;   5;   2;    39.0;   -999;   -999;-999;eor
  4441;18820601;18820630;   5;   2;   100.0;   -999;   -999;-999;eor
  4441;18820701;18820731;   5;   2;   132.0;   -999;   -999;-999;eor
  4441;18820801;18820831;   5;   2;    81.0;   -999;   -999;-999;eor
  4441;18820901;18820930;   5;   2;    82.0;   -999;   -999;-999;eor
  4441;18821001;18821031;   5;   2;    52.0;   -999;   -999;-999;eor
  4441;18821101;18821130;   5;   2;   123.0;   -999;   -999;-999;eor
  4441;18821201;18821231;   5;   2;    98.0;   -999;   -999;-999;eor
  4441;18830101;18830131;   5;   2;    33.0;   -999;   -999;-999;eor
  4441;18830201;18830228;   5;   2;    26.0;   -999;   -999;-999;eor
  4441;18830301;18830331;   5;   2;    34.0;   -999;   -999;-999;eor
  4441;18830401;18830430;   5;   2;    34.0;   -999;   -999;-999;eor
  4441;18830501;18830531;   5;   2;    86.0;   -999;   -999;-999;eor
  4441;18830601;18830630;   5;   2;   117.0;   -999;   -999;-999;eor
  4441;18830701;18830731;   5;   2;   136.0;   -999;   -999;-999;eor
  4441;18830801;18830831;   5;   2;    35.0;   -999;   -999;-999;eor
  4441;18830901;18830930;   5;   2;    94.0;   -999;   -999;-999;eor
