stat_id,height,lat,lon,date_start,date_end,locale
121,262,50.6713,7.6645,19980828,20070831,Altenkirchen-(Kläranlage)
122,61,53.1471,10.6195,19841101,20061231,Altenmedingen-Eddelstorf
123,470,49.7667,12.0833,19791001,19860228,Altenparkstein
124,205,51.2515,11.5644,19561201,20061031,Bibra-Bad-Altenroda
127,594,48.6171,8.6501,19941101,20021231,Altensteig-Wart
128,490,49.09,12.3,19370101,19960831,Altenthann
129,63,53.6804,13.1925,19580925,19920930,Altentreptow
130,295,49.7333,9.7667,19590406,19690531,Altertheim-Oberaltertheim
131,290,51.0955,12.9184,19521101,20040907,Geringswalde-Altgeringswalde
132,750,49.7692,12.3888,19531210,19590430,Altglashütte
133,530,48.7359,8.7493,19900701,20031231,Althengstett-Ottenbronn
134,785,49.3333,12.7667,19791015,19851231,Althütte bei Waldmünchen
135,232,50.9333,12.35,19770803,19911231,Altkirchen
137,825,49.1762,13.1315,19770818,19890930,Altlohberghütte
138,430,48.8821,11.7114,19580101,19900630,Altmannstein-Laimerstadt
139,530,48.9437,11.5694,19720101,20051231,Altmannstein-Pondorf
140,35,52.6861,11.4272,19700101,20070630,Altmersleben
142,520,48.3873,11.2593,19550101,19590731,Altomünster-Maisbrunn
143,505,48.4012,11.1984,19930812,20051231,Altomünster-Wollomoos
144,6,52.7642,14.1664,19681101,20031231,Altreetz
145,667,47.79,10.27,19050127,19781231,Altusried-Krugzell
147,9,53.7171,13.8351,19700701,20011231,Altwigshagen
148,33,53.8,9.9,19580101,19831031,Alveslohe
149,111,50.0888,9.0598,19850201,,Alzenau
150,191,49.7421,8.1092,19001101,19310630,Alzey
151,519,49.4531,11.8718,19330801,19550228,Amberg-Unterammersricht
152,70,53.1243,10.2095,19650901,20090630,Amelinghausen
153,530,48.0027,12.3132,19820301,20051231,Amerang-Kammer
154,515,48.0199,12.2927,19940101,20050228,Amerang-Pfaffing
155,559,48.75,10.5,19380310,19420331,Amerdingen
156,96,51.777,11.5744,18910101,20061231,Amesdorf-Warmsdorf
158,210,50.784,8.9545,19410101,,Amöneburg-Rüdigheim
159,183,49.6406,9.2278,19680401,19960331,Amorbach
160,690,47.975,11.1834,19370101,19950331,Andechs-Erling
161,,50.4333,7.4,19220301,19700930,Andernach
162,690,47.8013,12.8984,19380401,20051231,Anger-Oberhögl
163,830,47.8035,12.8198,19610901,19981124,Anger-Stoißberg
164,45,53.0168,14.0118,19080101,19460531,Angermünde
165,46,52.3533,11.7368,19570517,19700930,Angern
166,108,51.4667,11.9,19700428,19910701,Angersdorf
167,12,53.8509,13.6824,19200101,20031231,Anklam
168,62,52.5461,7.8763,19900830,19990531,Ankum
169,630,50.5667,13.0167,19350101,19670630,Annaberg-Buchholz
172,395,52.2486,9.5056,19690411,19911130,Annaturm
173,200,49.2028,7.9719,19630301,20011231,Annweiler
174,250,49.1886,7.9766,19820201,19871231,Annweiler-Bindersbach
175,440,49.2925,10.5737,19511004,19600331,Ansbach
177,418,49.3158,10.5815,19470414,19571031,Ansbach-Hennenbach
