stat_id,height,lat,lon,date_start,date_end,locale
188,267,50.85,10.9667,19690101,19901231,Arnstadt
189,265,50.027,9.9771,19370701,20051231,Arnstein-Altbessingen
190,202,49.9745,9.9332,19691101,20021231,Arnstein-Marbach
192,385,48.5565,12.8126,19840101,20051231,Arnstorf
193,288,51.3787,9.0145,19460701,19570822,Arolsen-Neu Berich
199,6,53.3752,10.4795,19480401,20061231,Artlenburg
206,3,53.05,7.3333,19510101,19770531,Aschendorf
207,144,51.75,11.4667,18970501,19760713,Aschersleben
208,100,51.4887,11.6679,19480701,20011231,Aseleben
214,307,51.1212,7.9108,19710625,20061231,Attendorn
218,83,51.918,11.5954,19601011,20061231,Atzendorf
219,77,51.9167,11.5667,19750101,19901231,Atzendorf (Marbeschacht)
221,483,48.5515,11.7117,19850801,19900531,Au i.d.Hallertau-Günzenhausen
224,1045,47.7333,10.7333,19510401,19810827,Auerberg
225,150,51.1,11.5833,19050423,20061231,Auerstedt
226,480,48.306,11.8586,19920630,19970228,Aufkirchen
228,486,48.3474,10.9351,19310101,19990131,Augsburg (Hochablaß)
229,470,48.4,10.9,19510101,19701231,Augsburg (Kläranlage)
231,490,48.3723,10.8948,18790101,20051231,Augsburg (Sankt Stephan)
234,190,51.6001,11.5689,19841214,20021231,Augsdorf
235,163,51.8905,8.7323,19610907,19960930,Augustdorf
236,153,49.0048,8.4932,19481101,19851231,Augustenberg
237,451,50.8124,13.1033,19930701,20061231,Augustusburg
242,510,49.2331,10.3635,19491001,20021231,Aurach-Weinberg
243,6,53.4621,7.467,19580901,19650627,Aurich
244,10,53.5392,7.5159,19760325,20061231,Aurich-Dietrichsfeld
247,641,47.9422,11.8103,19960401,20001231,Aying-Kleinhelfendorf
248,75,51.7645,11.8007,19700901,19751130,Baalberge
249,122,49.9708,8.9862,19960117,20070131,Babenhausen-Harreshausen
250,131,49.9506,8.8898,19371201,19960630,Babenhausen-Hergershausen
251,640,47.9833,9.4333,19680301,19701231,Bachhaupten
252,291,48.9546,9.4336,19860701,20110630,Backnang
255,30,52.6346,7.9788,19540801,20061231,Badbergen
256,103,52.1039,10.1938,19931125,20040330,Baddeckenstedt-Wartjensstedt
264,114,51.5793,14.1285,19990801,20051231,Bahnsdorf
266,87,51.9978,11.5639,18870101,19910430,Bahrendorf
267,460,48.4158,12.206,19871124,20051231,Baierbach
271,548,48.5879,8.3185,19841101,19971231,Baiersbronn-Zwickgabel
272,285,49.6583,11.0609,19961001,20051231,Baiersdorf-Hagenau
276,110,51.2073,11.7302,19841201,20001231,Balgstädt
278,213,51.7206,11.2478,19850118,20020731,Ballenstedt
280,244,49.8667,10.9333,19461101,19790101,Bamberg (am Tännig)
281,253,49.9167,10.9333,19510101,19790101,Bamberg (Greiff-Werke)
285,131,49.36,8.7829,19730216,20031231,Bammental
288,3,53.8409,13.7549,19731010,19980831,Bargischow-Gnevezin
291,42,53.5968,11.6952,19470101,20031231,Barnin
293,114,52.2992,9.4675,19890123,20060630,Barsinghausen
295,68,52.3461,9.5192,19901005,20040413,Barsinghausen-Stemmen
297,22,54.0809,11.9792,19730726,20020402,Bartenshagen-Parkentin
304,27,53.4307,8.9545,18910701,20020102,Basdahl-Volkmarst
306,170,50.3574,7.4639,19420501,19991231,Bassenheim
308,312,50.4113,10.1782,19310101,20050731,Bastheim-Simonshof
313,468,49.6186,7.3348,19660101,19960630,Baumholder
315,435,48.6865,12.2893,19900501,20021231,Bayerbach-Hölskofen
317,710,49.1198,13.1987,19771101,20060228,Bayerisch Eisenstein
322,255,50.9798,9.8657,19700501,19990430,Bebra-Iba
324,252,49.4125,6.764,18920601,19901216,Beckingen-Düppenweiler
325,105,51.7997,8.0297,19370101,20060331,Beckum-Neubeckum
327,27,53.6234,8.8323,19620816,19961031,Bederkesa
328,39,52.2372,12.9775,19920501,20051231,Beelitz
329,64,52.4303,14.0443,19720704,20010302,Beerfelde
331,360,49.5883,8.9254,19640701,20041231,Beerfelden-Airlenbach
332,68,51.7073,11.6966,19710401,19981231,Beesenlaublingen
334,40,52.708,11.0936,19890401,20061231,Beetzendorf
335,4,54.3426,10.6018,19761201,19771031,Behrensdorf
337,370,49.0334,11.4622,19700501,20050930,Beilngries
338,115,51.4809,13.1194,19510301,19631231,Belgern
339,141,51.2129,12.5623,19720101,20021231,Belgershain-Rohrbach
340,120,51.6948,11.6399,19650816,20031231,Belleben-Haus Zeitz
343,310,50.5269,10.4956,19740904,20000630,Belrieth
344,135,52.3419,11.1514,19590320,20011231,Belsdorf bei Behnsdorf
346,193,51.3765,11.0092,19661021,20000630,Bendeleben
347,73,50.4199,7.5656,19380301,19991231,Bendorf (A)
348,127,50.4135,7.5886,19891215,19930430,Bendorf
353,32,52.4067,12.3726,19621116,20051231,Bensdorf-Woltersdorf
355,117,49.7053,8.6196,19400401,19620719,Bensheim
356,78,52.3361,9.6288,19890731,20040630,Benthe
358,13,53.0491,8.133,19910409,20061231,Benthullen
363,930,47.6327,13.0503,19771101,19871231,Berchtesgaden-Obersalzberg
365,412,49.3253,11.4378,19910909,19980930,Berg/Oberpfalz
369,76,52.8333,9.9833,19510101,19951231,"Bergen-Nindorf, Kreis Celle"
374,402,48.8498,9.4881,19930701,20031231,Berglen-Birkenweißbuch
375,375,51.0023,7.6711,18910101,19990831,Bergneustadt-Hüngringhausen
381,287,50.8988,11.2739,19970521,20000831,"Berka, Bad"
382,225,50.9405,10.0746,19910601,20001130,Berka/Werra
383,318,51.2373,9.8899,19770701,20001031,Berkatal-Frankenhain
386,439,51.0465,8.3857,19691101,19770825,"Berleburg, Bad"
387,470,51.0667,8.3833,19810928,20061231,"Berleburg, Bad (Alte Warte)"
388,510,51.1201,8.454,19730315,19910630,"Berleburg, Bad-Girkhausen"
391,450,51.0698,8.2888,19701125,20061231,"Berleburg, Bad-Wingeshausen"
392,543,51.0948,8.5148,19310101,20061231,"Berleburg, Bad-Wunderthausen"
394,43,52.5903,13.3833,19770801,19960630,Berlin (Rosenthal)
401,55,52.5167,13.2667,19631201,19931231,Berlin-Charlottenburg
402,55,52.4564,13.2997,18760101,19630331,Berlin-Dahlem (LFAG)
404,38,52.5047,13.5215,19731113,20030101,Berlin-Friedrichsfelde
406,33,52.5167,13.4167,19881201,19940331,Berlin-Friedrichshain
409,35,52.45,13.5,19771001,19961231,Berlin-Johannisthal
412,35,52.4833,13.5167,19771001,19910501,Berlin-Karlshorst
413,39,52.5044,13.5799,19690101,19940228,Berlin-Kaulsdorf
414,36,52.4753,13.5899,19770801,19951231,Berlin-Köpenick
416,47,52.4069,13.4127,19820701,19961231,Berlin-Lichtenrade
418,45,52.4089,13.3316,19310101,20080131,Berlin-Lichterfelde Ost
419,53,52.5753,13.4832,19520101,20010403,Berlin-Malchow
421,52,52.5333,13.55,19820101,19941231,"Berlin-Marzahn,  Apw"
422,35,52.5333,13.3833,19560101,19910831,Berlin-Mitte
425,38,52.4044,13.4838,19580401,19820630,Berlin-Rudow
429,32,52.5667,13.1694,19861001,19870930,Berlin-Spandau
432,36,52.6044,13.2952,19780401,19941231,Berlin-Tegeler Fliesstal
434,35,52.4553,13.4699,19461201,20051231,Berlin-Treptow
435,45,52.4289,13.2327,19631101,20061231,Berlin-Zehlendorf
436,75,53.216,12.5815,19890101,20031231,Berlinchen
438,563,50.5241,12.7759,19910301,20101231,Schwarzenberg-Bermsgrün
439,522,47.8235,12.3993,19760827,19980317,"Bernau, Kreis Rosenheim"
441,920,47.8,8.0333,19460801,19760630,Bernau-Kaiserhaus
442,750,47.7333,10.7833,19810801,19820531,Bernbeuren
444,168,51.1843,12.6587,19870101,20021231,Bernbruch
448,435,49.1265,12.2649,19870501,20071231,Bernhardswald-Hauzendorf
449,570,49.1201,12.2152,19381001,19870430,Bernhardswald-Kürn
451,495,48.9207,12.9267,19960901,20000131,Bernried/Niederbayern -Buchet
452,145,51.3734,14.066,19610921,20050201,"Bernsdorf, Krs. Kamenz"
453,480,50.5667,12.05,19010101,19901231,Bernsgrün
454,348,51.3798,10.5229,18910101,20061231,Rehungen
